Model Name,aae_SAE,aae_Dialect,aae_Drop,bre_SAE,bre_Dialect,bre_Drop,che_SAE,che_Dialect,che_Drop,ine_SAE,ine_Dialect,ine_Drop,sge_SAE,sge_Dialect,sge_Drop,average_SAE,average_Dialect,average_Drop
dalle2,0.4976,0.5365,-0.0782,0.5261,0.4997,0.0502,0.5244,0.4490,0.1438,0.5188,0.4442,0.1438,0.4921,0.4321,0.1219,0.5118,0.4723,0.0763
dalle3,0.3836,0.4857,-0.2662,0.4494,0.4595,-0.0225,0.4574,0.4849,-0.0601,0.4349,0.3771,0.1329,0.3664,0.4289,-0.1706,0.4183,0.4472,-0.0773
flux.1-dev,0.3181,0.4256,-0.3379,0.4417,0.4149,0.0607,0.4755,0.4330,0.0894,0.4010,0.3814,0.0489,0.4390,0.4663,-0.0622,0.4151,0.4242,-0.0402
gpt-image-1,0.4092,0.3855,0.0579,0.4773,0.5067,-0.0616,0.5243,0.5305,-0.0118,0.4447,0.3251,0.2689,0.4994,0.5073,-0.0158,0.4710,0.4510,0.0475
minDALL-E,0.6159,0.6740,-0.0943,0.5868,0.5880,-0.0020,0.6812,0.5359,0.2133,0.6593,0.4768,0.2768,0.6410,0.4944,0.2287,0.6368,0.5538,0.1245
stable-diffusion-3.5-large,0.4586,0.4774,-0.0410,0.4853,0.4144,0.1461,0.4849,0.3868,0.2023,0.4577,0.3113,0.3199,0.4717,0.4077,0.1357,0.4716,0.3995,0.1526
stable-diffusion-3.5-large-turbo,0.3979,0.4053,-0.0186,0.4601,0.3990,0.1328,0.4129,0.3186,0.2284,0.3593,0.2670,0.2569,0.3872,0.3355,0.1335,0.4035,0.3451,0.1466
stable-diffusion-xl-base-1.0,0.4859,0.5173,-0.0646,0.5078,0.4763,0.0620,0.4843,0.4116,0.1501,0.4719,0.3182,0.3257,0.4639,0.3961,0.1462,0.4828,0.4239,0.1239
stable-diffusion1.4,0.6112,0.6032,0.0131,0.5522,0.4902,0.1123,0.5617,0.4779,0.1492,0.5238,0.3477,0.3362,0.5411,0.4426,0.1820,0.5580,0.4723,0.1586
stable-diffusion1.5,0.6232,0.5977,0.0409,0.5429,0.4824,0.1114,0.5742,0.4610,0.1971,0.5188,0.3461,0.3329,0.5350,0.4310,0.1944,0.5588,0.4636,0.1753
stable-diffusion2.1,0.6269,0.6154,0.0183,0.4871,0.4961,-0.0185,0.5360,0.4006,0.2526,0.5290,0.3463,0.3454,0.5438,0.4230,0.2221,0.5446,0.4563,0.1640
stable-diffusion3-medium,0.4973,0.5712,-0.1486,0.5490,0.4393,0.1998,0.5136,0.4361,0.1509,0.5437,0.3416,0.3717,0.5396,0.4256,0.2113,0.5286,0.4428,0.1570
