Model Name,aae_SAE,aae_Dialect,aae_Drop,bre_SAE,bre_Dialect,bre_Drop,che_SAE,che_Dialect,che_Drop,ine_SAE,ine_Dialect,ine_Drop,sge_SAE,sge_Dialect,sge_Drop,average_SAE,average_Dialect,average_Drop
dalle2,0.5444,0.5479,-0.0064,0.5605,0.5530,0.0134,0.6345,0.4778,0.2470,0.4462,0.3776,0.1537,0.5147,0.4489,0.1278,0.5401,0.4810,0.1071
dalle3,0.3705,0.4071,-0.0988,0.5014,0.4729,0.0568,0.4526,0.5003,-0.1054,0.4340,0.4349,-0.0021,0.3870,0.4004,-0.0346,0.4291,0.4431,-0.0368
flux.1-dev,0.3940,0.4084,-0.0365,0.5307,0.5039,0.0505,0.5229,0.4916,0.0599,0.4228,0.4012,0.0511,0.4557,0.4526,0.0068,0.4652,0.4515,0.0264
gpt-image-1,0.4189,0.4157,0.0076,0.5553,0.5549,0.0007,0.5688,0.5918,-0.0404,0.4660,0.3349,0.2813,0.5277,0.4958,0.0605,0.5073,0.4786,0.0619
minDALL-E,0.6227,0.6576,-0.0560,0.6373,0.6353,0.0031,0.6883,0.5861,0.1485,0.5417,0.4506,0.1682,0.6124,0.5290,0.1362,0.6205,0.5717,0.0800
stable-diffusion-3.5-large,0.4748,0.4998,-0.0527,0.5795,0.5305,0.0846,0.5670,0.4573,0.1935,0.4147,0.3158,0.2385,0.4538,0.3874,0.1463,0.4980,0.4382,0.1220
stable-diffusion-3.5-large-turbo,0.3949,0.3951,-0.0005,0.5069,0.4573,0.0978,0.4796,0.3783,0.2112,0.3558,0.2542,0.2856,0.3569,0.3092,0.1337,0.4188,0.3588,0.1456
stable-diffusion-xl-base-1.0,0.4823,0.4913,-0.0187,0.5363,0.5145,0.0406,0.5588,0.4848,0.1324,0.4112,0.2840,0.3093,0.4422,0.3985,0.0988,0.4862,0.4346,0.1125
stable-diffusion1.4,0.5307,0.5334,-0.0051,0.5818,0.5619,0.0342,0.6350,0.5519,0.1309,0.4564,0.3120,0.3164,0.5485,0.4413,0.1954,0.5505,0.4801,0.1344
stable-diffusion1.5,0.5528,0.5465,0.0114,0.5684,0.5486,0.0348,0.6228,0.5573,0.1052,0.4498,0.3000,0.3330,0.5328,0.4398,0.1745,0.5453,0.4784,0.1318
stable-diffusion2.1,0.5252,0.5385,-0.0253,0.5509,0.5485,0.0044,0.6110,0.4979,0.1851,0.4631,0.3658,0.2101,0.5135,0.4240,0.1743,0.5327,0.4749,0.1097
stable-diffusion3-medium,0.5418,0.5705,-0.0530,0.6295,0.5823,0.0750,0.6428,0.5333,0.1703,0.4689,0.3185,0.3208,0.5209,0.4353,0.1643,0.5608,0.4880,0.1355
